time,energy,coldwater,warmwater
2014-06-05 00:00:00,0.0999999999999091,0.00400000000000489,0.00300000000000011
2014-06-05 01:00:00,0.369999999999891,0,0
2014-06-05 02:00:00,0.300000000000182,0,0
2014-06-05 03:00:00,0.0899999999996908,0,0
2014-06-05 04:00:00,0.0900000000001455,0.0120000000000005,0
2014-06-05 05:00:00,0.159999999999854,0.0289999999999964,0
2014-06-05 06:00:00,0.170000000000073,0.00300000000000011,0
2014-06-05 07:00:00,0.190000000000055,0.0109999999999957,0.00199999999999534
2014-06-05 08:00:00,0.360000000000127,0.00499999999999545,0
2014-06-05 09:00:00,0.460000000000036,0,0
2014-06-05 10:00:00,0.25,0.0400000000000063,0.0409999999999968
2014-06-05 11:00:00,0.0999999999999091,0.00100000000000477,0
2014-06-05 12:00:00,0.0900000000001455,0,0
2014-06-05 13:00:00,0.0799999999999272,0,0
2014-06-05 14:00:00,0.389999999999873,0.0180000000000007,0.0120000000000005
2014-06-05 15:00:00,0.539999999999964,0,0
2014-06-05 16:00:00,0.829999999999927,0.0609999999999928,0.0690000000000026
2014-06-05 17:00:00,0.559999999999945,0.00499999999999545,0.00100000000000477
2014-06-05 18:00:00,0.410000000000309,0.00300000000000011,0
2014-06-05 19:00:00,0.4699999999998,0.085000000000008,0.090999999999994
2014-06-05 20:00:00,0.400000000000091,0.00199999999999534,0
2014-06-05 21:00:00,0.2800000000002,0.007000000000005,0.00499999999999545
2014-06-05 22:00:00,0.289999999999964,0,0
2014-06-05 23:00:00,0.359999999999673,0.00399999999999068,0.00300000000000011
