time,energy,coldwater,warmwater
2014-05-30 00:00:00,0.0999999999999091,0.00300000000000011,0
2014-05-30 01:00:00,0.0999999999999091,0,0
2014-05-30 02:00:00,0.0999999999999091,0,0
2014-05-30 03:00:00,0.380000000000109,0,0
2014-05-30 04:00:00,0.299999999999727,0,0
2014-05-30 05:00:00,0.0900000000001455,0,0
2014-05-30 06:00:00,0.0900000000001455,0,0
2014-05-30 07:00:00,0.159999999999854,0.00500000000000966,0
2014-05-30 08:00:00,0.510000000000218,0.00099999999999056,0
2014-05-30 09:00:00,1.17999999999984,0.0580000000000069,0.0559999999999974
2014-05-30 10:00:00,1.36999999999989,0.00499999999999545,0
2014-05-30 11:00:00,0.640000000000327,0.00300000000000011,0
2014-05-30 12:00:00,0.919999999999618,0.0889999999999986,0.0420000000000016
2014-05-30 13:00:00,1.0300000000002,0.0150000000000006,0.00400000000000489
2014-05-30 14:00:00,1.26999999999998,0.0310000000000059,0.00900000000000034
2014-05-30 15:00:00,0.579999999999927,0.0819999999999936,0.0599999999999881
2014-05-30 16:00:00,0.610000000000127,0.0320000000000107,0.0160000000000053
2014-05-30 17:00:00,1.13000000000011,0.00999999999999091,0
2014-05-30 18:00:00,0.549999999999727,0.0160000000000053,0.00799999999999557
2014-05-30 19:00:00,0.450000000000273,0.0109999999999957,0.00200000000000955
2014-05-30 20:00:00,1.06999999999971,0.00600000000000023,0.00099999999999056
2014-05-30 21:00:00,0.630000000000109,0.034000000000006,0.0370000000000061
2014-05-30 22:00:00,1.13999999999987,0.0189999999999912,0.00100000000000477
2014-05-30 23:00:00,0.559999999999945,0.0290000000000106,0.00600000000000023
2014-05-31 00:00:00,0.400000000000091,0,0
2014-05-31 01:00:00,0.119999999999891,0,0
2014-05-31 02:00:00,0.150000000000091,0,0
2014-05-31 03:00:00,0.110000000000127,0,0
2014-05-31 04:00:00,0.0900000000001455,0,0
2014-05-31 05:00:00,0.0999999999999091,0,0
2014-05-31 06:00:00,0.320000000000164,0,0
2014-05-31 07:00:00,0.369999999999891,0.00399999999999068,0
2014-05-31 08:00:00,0.119999999999891,0.00400000000000489,0
2014-05-31 09:00:00,0.489999999999782,0.0150000000000006,0.00499999999999545
2014-05-31 10:00:00,0.7800000000002,0.0240000000000009,0.0180000000000007
2014-05-31 11:00:00,0.630000000000109,0.0499999999999972,0.0789999999999935
2014-05-31 12:00:00,0.429999999999836,0.0529999999999973,0.0439999999999969
2014-05-31 13:00:00,0.200000000000273,0,0
2014-05-31 14:00:00,0.429999999999836,0,0
2014-05-31 15:00:00,0.279999999999745,0.00200000000000955,0
2014-05-31 16:00:00,0.390000000000327,0,0
2014-05-31 17:00:00,0.409999999999854,0.00599999999998602,0.00100000000000477
2014-05-31 18:00:00,0.170000000000073,0.00500000000000966,0
2014-05-31 19:00:00,0.139999999999873,0.00499999999999545,0
2014-05-31 20:00:00,0.380000000000109,0.0130000000000052,0.00400000000000489
2014-05-31 21:00:00,1.80000000000018,0.0450000000000017,0.0570000000000022
2014-05-31 22:00:00,0.789999999999964,0.0189999999999912,0.00099999999999056
2014-05-31 23:00:00,0.379999999999654,0.00500000000000966,0.00300000000000011
